mean_K	mean_H	FST	FST_2_1	
0	0	0.0750153	0.0750153	
0	0	-0.0263458	-0.0263458	
0	0	-0.0078365	-0.0078365	
0	0	-0.0133687	-0.0133687	
0	0	0.0450009	0.0450009	
0	0	0.0269255	0.0269255	
0	0	-0.0195877	-0.0195877	
0	0	0.0621542	0.0621542	
0	0	0.367099	0.367099	
0	0	0.0476397	0.0476397	
0	0	0.0237181	0.0237181	
0	0	0.0191475	0.0191475	
0	0	0.0247489	0.0247489	
0	0	0.0372667	0.0372667	
0	0	0.0635575	0.0635575	
0	0	0.0133124	0.0133124	
0	0	0.0735954	0.0735954	
0	0	0.239036	0.239036	
0	0	-0.00660689	-0.00660689	
0	0	0.00184392	0.00184392	
0	0	0.00172631	0.00172631	
0	0	0.187454	0.187454	
0	0	-0.0317456	-0.0317456	
0	0	-0.0140014	-0.0140014	
0	0	-0.031857	-0.031857	
0	0	0.0608022	0.0608022	
0	0	-0.0257031	-0.0257031	
0	0	0.0522773	0.0522773	
0	0	0.121455	0.121455	
0	0	-0.00784157	-0.00784157	
0	0	-0.025627	-0.025627	
0	0	0.0240041	0.0240041	
0	0	0.0120769	0.0120769	
0	0	-0.014043	-0.014043	
0	0	-0.023582	-0.023582	
0	0	-0.0191461	-0.0191461	
0	0	0.0491758	0.0491758	
0	0	0.0868466	0.0868466	
0	0	0.0449948	0.0449948	
0	0	0.0499673	0.0499673	
0	0	0.0193298	0.0193298	
0	0	0.0647032	0.0647032	
0	0	0.119291	0.119291	
0	0	0.0320955	0.0320955	
0	0	-0.0159658	-0.0159658	
0	0	0.121471	0.121471	
0	0	0.015582	0.015582	
0	0	0.161973	0.161973	
0	0	0.0096975	0.0096975	
0	0	0.0143827	0.0143827	
0	0	0.0413359	0.0413359	
0	0	0.0456735	0.0456735	
0	0	-0.0065647	-0.0065647	
0	0	-0.0326898	-0.0326898	
0	0	0.10386	0.10386	
0	0	-0.0293932	-0.0293932	
0	0	-0.0286	-0.0286	
0	0	0.0510258	0.0510258	
0	0	0.0146099	0.0146099	
0	0	0.0331234	0.0331234	
0	0	0.0197332	0.0197332	
0	0	0.0834308	0.0834308	
0	0	-0.0332037	-0.0332037	
0	0	0.010059	0.010059	
0	0	-0.0413715	-0.0413715	
0	0	0.00126547	0.00126547	
0	0	-0.0261119	-0.0261119	
0	0	0.025647	0.025647	
0	0	-0.027548	-0.027548	
0	0	0.0214651	0.0214651	
0	0	0.0469625	0.0469625	
0	0	0.000529146	0.000529146	
0	0	0.036546	0.036546	
0	0	0.0234244	0.0234244	
0	0	0.0161896	0.0161896	
0	0	-0.0339831	-0.0339831	
0	0	0.0191859	0.0191859	
0	0	0.0385698	0.0385698	
0	0	0.028064	0.028064	
0	0	0.0234001	0.0234001	
0	0	0.0726794	0.0726794	
0	0	-0.000330412	-0.000330412	
0	0	-0.0236167	-0.0236167	
0	0	-0.0221365	-0.0221365	
0	0	-0.0243687	-0.0243687	
0	0	0.00495043	0.00495043	
0	0	0.122543	0.122543	
0	0	0.026879	0.026879	
0	0	0.0780785	0.0780785	
0	0	0.0378273	0.0378273	
0	0	0.105107	0.105107	
0	0	0.00422926	0.00422926	
0	0	0.00293668	0.00293668	
0	0	0.0349883	0.0349883	
0	0	0.196636	0.196636	
0	0	0.0465504	0.0465504	
0	0	0.0132152	0.0132152	
0	0	-0.0289143	-0.0289143	
0	0	0.138799	0.138799	
0	0	-0.0120551	-0.0120551	
0	0	0.0124068	0.0124068	
0	0	0.0560272	0.0560272	
0	0	0.224955	0.224955	
0	0	0.00148403	0.00148403	
0	0	0.0335221	0.0335221	
0	0	0.0116951	0.0116951	
0	0	0.0842684	0.0842684	
0	0	4.37839e-05	4.37839e-05	
0	0	0.09304	0.09304	
0	0	-0.0136758	-0.0136758	
0	0	0.00569224	0.00569224	
0	0	0.0746793	0.0746793	
0	0	-0.0342673	-0.0342673	
0	0	0.0379174	0.0379174	
0	0	-0.00110117	-0.00110117	
0	0	-0.014636	-0.014636	
0	0	-0.0046551	-0.0046551	
0	0	0.0677456	0.0677456	
0	0	-0.00643667	-0.00643667	
0	0	0.0658432	0.0658432	
0	0	0.0166262	0.0166262	
0	0	-0.019934	-0.019934	
